zip_code,week_of_vaccination,partially_vaccinated,fully_vaccinated,boosted,annotation,etl_timestamp,objectid
19106,5/2/2021 12:00:00 AM,28,738,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,170
19140,4/3/2022 12:00:00 AM,35,97,77,,2023/11/16 13:10:00+00,171
19140,4/11/2021 12:00:00 AM,98,1279,9,,2023/11/16 13:10:00+00,172
19151,1/3/2021 12:00:00 AM,,29,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,173
19109,4/25/2021 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,174
19129,8/8/2021 12:00:00 AM,6,42,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,175
19154,1/17/2021 12:00:00 AM,7,154,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,176
19126,10/3/2021 12:00:00 AM,15,83,88,,2023/11/16 13:10:00+00,177
19114,5/15/2022 12:00:00 AM,18,32,60,,2023/11/16 13:10:00+00,178
19150,8/1/2021 12:00:00 AM,10,127,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,179
19153,6/19/2022 12:00:00 AM,,7,15,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,180
19109,8/22/2021 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,181
19106,3/27/2022 12:00:00 AM,16,18,31,,2023/11/16 13:10:00+00,182
19150,9/26/2021 12:00:00 AM,20,142,140,,2023/11/16 13:10:00+00,183
19153,2/6/2022 12:00:00 AM,23,100,78,,2023/11/16 13:10:00+00,184
19114,10/3/2021 12:00:00 AM,38,122,330,,2023/11/16 13:10:00+00,185
19140,6/5/2022 12:00:00 AM,17,43,53,,2023/11/16 13:10:00+00,186
19126,5/15/2022 12:00:00 AM,23,18,61,,2023/11/16 13:10:00+00,187
19134,3/27/2022 12:00:00 AM,28,67,81,,2023/11/16 13:10:00+00,188
19138,11/28/2021 12:00:00 AM,54,181,453,,2023/11/16 13:10:00+00,189
19153,2/7/2021 12:00:00 AM,8,78,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,190
19141,12/13/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,191
19142,6/6/2021 12:00:00 AM,28,454,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,192
19145,1/24/2021 12:00:00 AM,17,177,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,193
19151,10/24/2021 12:00:00 AM,34,181,310,,2023/11/16 13:10:00+00,194
19138,2/21/2021 12:00:00 AM,30,249,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,195
19136,5/1/2022 12:00:00 AM,12,30,39,,2023/11/16 13:10:00+00,196
